,title,artist,region,year,stream,Rank
743,Unforgettable,"French Montana, Swae Lee",United Kingdom,2017,77246831,4
744,Galway Girl,Ed Sheeran,United Kingdom,2017,69322634,5
745,Symphony (feat. Zara Larsson),Clean Bandit,United Kingdom,2017,58499561,6
746,New Rules,Dua Lipa,United Kingdom,2017,58232846,7
747,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",United Kingdom,2017,54208075,8
748,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,United Kingdom,2017,53150283,9
749,Perfect,Ed Sheeran,United Kingdom,2017,52151687,10
750,God's Plan,Drake,United Kingdom,2018,98750702,1
751,One Kiss (with Dua Lipa),Calvin Harris,United Kingdom,2018,82002055,2
752,Nice For What,Drake,United Kingdom,2018,74137024,3
753,Shotgun,George Ezra,United Kingdom,2018,71770724,4
754,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,United Kingdom,2018,64861848,5
755,In My Feelings,Drake,United Kingdom,2018,61547921,6
756,This Is Me,"Keala Settle, The Greatest Showman Ensemble",United Kingdom,2018,61066556,7
757,Better Now,Post Malone,United Kingdom,2018,59274282,8
758,IDGAF,Dua Lipa,United Kingdom,2018,55529889,9
759,no tears left to cry,Ariana Grande,United Kingdom,2018,55490448,10
760,Someone You Loved,Lewis Capaldi,Belgium,2019,11182017,1
761,Dance Monkey,Tones And I,Belgium,2019,10421754,2
762,bad guy,Billie Eilish,Belgium,2019,10134462,3
763,Señorita,"Shawn Mendes, Camila Cabello",Belgium,2019,9056920,4
764,Don't Call Me Up,Mabel,Belgium,2019,8560899,5
765,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",Belgium,2019,7984287,6
766,I Don't Care (with Justin Bieber),Ed Sheeran,Belgium,2019,7918835,7
767,Shallow,"Lady Gaga, Bradley Cooper",Belgium,2019,7868837,8
768,Piece Of Your Heart,"MEDUZA, Goodboys",Belgium,2019,7704733,9
769,7 rings,Ariana Grande,Belgium,2019,7259999,10
770,DÁKITI,"Bad Bunny, Jhay Cortez",Bolivia,2021,5442769,1
771,Yonaguni,Bad Bunny,Bolivia,2021,4997098,2
772,Todo De Ti,Rauw Alejandro,Bolivia,2021,4954969,3
773,Pareja Del Año,"Sebastian Yatra, Myke Towers",Bolivia,2021,4832762,4
774,Bandido,"Myke Towers, Juhn",Bolivia,2021,4563156,5
775,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Bolivia,2021,4210257,6
776,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Bolivia,2021,4117496,7
777,Miénteme,"TINI, Maria Becerra",Bolivia,2021,4048819,8
778,Sobrio,Maluma,Bolivia,2021,4015144,9
779,Qué Más Pues?,"J Balvin, Maria Becerra",Bolivia,2021,3947069,10
780,Me Rehúso,Danny Ocean,Colombia,2017,15385259,1
781,Shape of You,Ed Sheeran,Colombia,2017,14617209,2
782,Despacito (Featuring Daddy Yankee),Luis Fonsi,Colombia,2017,13623059,3
783,El Amante,Nicky Jam,Colombia,2017,12089854,4
784,Una Lady Como Tú,Manuel Turizo,Colombia,2017,11150933,5
785,Otra vez (feat. J Balvin),Zion & Lennox,Colombia,2017,10978508,6
786,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Colombia,2017,10556150,7
787,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Colombia,2017,9471952,8
788,Felices los 4,Maluma,Colombia,2017,9406653,9
789,Sigo Extrañándote,J Balvin,Colombia,2017,8721583,10
790,DÁKITI,"Bad Bunny, Jhay Cortez",Costa Rica,2021,7435214,1
791,Yonaguni,Bad Bunny,Costa Rica,2021,6739241,2
792,Bandido,"Myke Towers, Juhn",Costa Rica,2021,6469317,3
793,Todo De Ti,Rauw Alejandro,Costa Rica,2021,5854037,4
794,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Costa Rica,2021,5394004,5
795,Hecha Pa' Mi,Boza,Costa Rica,2021,4929233,6
796,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Costa Rica,2021,4866915,7
797,BICHOTA,KAROL G,Costa Rica,2021,4377268,8
798,Botella Tras Botella,"Gera MX, Christian Nodal",Costa Rica,2021,4352484,9
799,Hawái,Maluma,Costa Rica,2021,4262316,10
800,Shape of You,Ed Sheeran,Denmark,2017,24204277,1
801,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Denmark,2017,19428821,2
802,Rica (feat. Kesi & Sivas),Gilli,Denmark,2017,12639346,3
803,Unforgettable,"French Montana, Swae Lee",Denmark,2017,12391736,4
804,Habibi Aiwa,Gilli,Denmark,2017,11975999,5
805,Galway Girl,Ed Sheeran,Denmark,2017,11666138,6
806,Castle on the Hill,Ed Sheeran,Denmark,2017,11149942,7
807,Issues,Julia Michaels,Denmark,2017,11087262,8
808,Mamacita (feat. Benny Jamz),KESI,Denmark,2017,10925881,9
809,rockstar,"Post Malone, 21 Savage",Denmark,2017,10909082,10
810,Sydpå,Bro,Denmark,2018,13881932,1
811,Kom Over,KESI,Denmark,2018,12730917,2
812,Langsom,Gilli,Denmark,2018,12491131,3
813,God's Plan,Drake,Denmark,2018,12036766,4
814,Strapped,FOOL,Denmark,2018,11670049,5
815,Better Now,Post Malone,Denmark,2018,11571227,6
816,SAD!,XXXTENTACION,Denmark,2018,11344678,7
817,Oui,"Sivas, NODE, Gilli",Denmark,2018,11290699,8
818,One Kiss (with Dua Lipa),Calvin Harris,Denmark,2018,10975610,9
819,Youngblood,5 Seconds of Summer,Denmark,2018,10533373,10
820,Blinding Lights,The Weeknd,Denmark,2020,20057011,1
821,Roses - Imanbek Remix,SAINt JHN,Denmark,2020,13483905,2
822,ErruDumEllaHvad,ICEKIID,Denmark,2020,13329919,3
823,LA DANZA,"Branco, Gilli",Denmark,2020,12926722,4
824,Solhverv,Lord Siva,Denmark,2020,11911252,5
825,ROCKSTAR (feat. Roddy Ricch),DaBaby,Denmark,2020,11822534,6
826,PUB G (feat. Branco & Larry 44),LOLO,Denmark,2020,10844732,7
827,Blå Himmel (feat. Hans Philip),KESI,Denmark,2020,10159426,8
828,Gonzo,Suspekt,Denmark,2020,10080573,9
829,Klovne,RH,Denmark,2020,10003227,10
830,Callaita,"Bad Bunny, Tainy",Dominican Republic,2019,3542782,1
831,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Dominican Republic,2019,3168039,2
832,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Dominican Republic,2019,2993940,3
833,LA CANCIÓN,"J Balvin, Bad Bunny",Dominican Republic,2019,2976897,4
834,Otro Trago,"Sech, Darell",Dominican Republic,2019,2845583,5
835,La Romana,"Bad Bunny, El Alfa",Dominican Republic,2019,2683263,6
836,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Dominican Republic,2019,2635996,7
837,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Dominican Republic,2019,2608897,8
838,Secreto,"Anuel AA, KAROL G",Dominican Republic,2019,2467935,9
839,Calma - Remix,"Pedro Capó, Farruko",Dominican Republic,2019,2359659,10
840,Otro Trago,"Sech, Darell",Ecuador,2019,7809622,1
841,Callaita,"Bad Bunny, Tainy",Ecuador,2019,7494426,2
842,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Ecuador,2019,7301234,3
843,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Ecuador,2019,6632232,4
844,Con Calma,"Daddy Yankee, Snow",Ecuador,2019,6477276,5
845,Adan y Eva,Paulo Londra,Ecuador,2019,6333885,6
846,Calma - Remix,"Pedro Capó, Farruko",Ecuador,2019,6252005,7
847,LA CANCIÓN,"J Balvin, Bad Bunny",Ecuador,2019,6191648,8
848,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Ecuador,2019,6144437,9
849,Secreto,"Anuel AA, KAROL G",Ecuador,2019,6088451,10
850,Shape of You,Ed Sheeran,France,2017,45572861,1
851,Réseaux,Niska,France,2017,31920752,2
852,Θ. Macarena,Damso,France,2017,28464387,3
853,Mwaka Moon,"Kalash, Damso",France,2017,22263682,4
854,Unforgettable,"French Montana, Swae Lee",France,2017,20704842,5
855,Ε. Signaler,Damso,France,2017,19885611,6
856,Mamacita,Ninho,France,2017,19723414,7
857,Despacito (Featuring Daddy Yankee),Luis Fonsi,France,2017,19425018,8
858,Mask Off,Future,France,2017,18773367,9
859,Call On Me - Ryan Riback Extended Remix,Starley,France,2017,18127408,10
860,Blinding Lights,The Weeknd,Greece,2020,4087344,1
861,Millionaire,SNIK,Greece,2020,3901136,2
862,The Box,Roddy Ricch,Greece,2020,3715956,3
863,Roses - Imanbek Remix,SAINt JHN,Greece,2020,3686780,4
864,Fimi,"Mad Clip, Josephine",Greece,2020,3422114,5
865,Pistoli,"Sin Laurent, TOQUEL",Greece,2020,3199087,6
866,Slang,"Light, Billy Sio, ATC Nico",Greece,2020,3180951,7
867,XILIOMETRA,"Mad Clip, Hawk, Sapranov, Light",Greece,2020,3141430,8
868,Drip,"SNIK, Mad Clip",Greece,2020,3132735,9
869,HIGHEST IN THE ROOM,Travis Scott,Greece,2020,2762193,10
870,Girls Like You (feat. Cardi B),Maroon 5,Israel,2018,1236067,1
871,שני משוגעים,Omer Adam,Israel,2018,1211272,2
872,FRIENDS,"Marshmello, Anne-Marie",Israel,2018,1133963,3
873,Lucid Dreams,Juice WRLD,Israel,2018,1110614,4
874,I Like It,"Cardi B, Bad Bunny, J Balvin",Israel,2018,1100066,5
875,IDGAF,Dua Lipa,Israel,2018,1084283,6
876,חברות שלך,Omer Adam,Israel,2018,1081901,7
877,One Kiss (with Dua Lipa),Calvin Harris,Israel,2018,1032885,8
878,God's Plan,Drake,Israel,2018,1022602,9
879,In My Feelings,Drake,Israel,2018,1003711,10
880,Shape of You,Ed Sheeran,Japan,2017,6481322,1
881,Stay (with Alessia Cara),Zedd,Japan,2017,3348525,2
882,Something Just Like This,"The Chainsmokers, Coldplay",Japan,2017,3347727,3
883,Closer,"The Chainsmokers, Halsey",Japan,2017,3122315,4
884,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Japan,2017,3044699,5
885,Wherever you are,ONE OK ROCK,Japan,2017,2633552,6
886,My Boo,Shota Shimizu,Japan,2017,2604910,7
887,打上花火,"DAOKO, Kenshi Yonezu",Japan,2017,2531667,8
888,Attention,Charlie Puth,Japan,2017,2482188,9
889,That's What I Like,Bruno Mars,Japan,2017,2358839,10
890,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Nicaragua,2019,966794,1
891,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2019,915007,2
892,Callaita,"Bad Bunny, Tainy",Nicaragua,2019,903811,3
893,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Nicaragua,2019,726184,4
894,Tusa,"KAROL G, Nicki Minaj",Nicaragua,2019,512705,5
895,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Nicaragua,2019,491001,6
896,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Nicaragua,2019,470503,7
897,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Nicaragua,2019,468572,8
898,QUE PRETENDES,"J Balvin, Bad Bunny",Nicaragua,2019,467181,9
899,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Nicaragua,2019,457822,10
900,Tusa,"KAROL G, Nicki Minaj",Nicaragua,2020,1595052,1
901,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Nicaragua,2020,1338762,2
902,Vete,Bad Bunny,Nicaragua,2020,1247107,3
903,Si Veo a Tu Mamá,Bad Bunny,Nicaragua,2020,1201778,4
904,Hawái,Maluma,Nicaragua,2020,1192688,5
905,Yo Perreo Sola,Bad Bunny,Nicaragua,2020,1169413,6
906,Ignorantes,"Bad Bunny, Sech",Nicaragua,2020,1118668,7
907,Rojo,J Balvin,Nicaragua,2020,1104835,8
908,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2020,1093498,9
909,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2020,1073320,10
910,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2021,2303051,1
911,Yonaguni,Bad Bunny,Nicaragua,2021,2030685,2
912,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Nicaragua,2021,1597828,3
913,Bandido,"Myke Towers, Juhn",Nicaragua,2021,1496119,4
914,Todo De Ti,Rauw Alejandro,Nicaragua,2021,1374977,5
915,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Nicaragua,2021,1282035,6
916,TE MUDASTE,Bad Bunny,Nicaragua,2021,1154385,7
917,Botella Tras Botella,"Gera MX, Christian Nodal",Nicaragua,2021,1121308,8
918,Pareja Del Año,"Sebastian Yatra, Myke Towers",Nicaragua,2021,1067078,9
919,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Nicaragua,2021,1050092,10
920,Me Rehúso,Danny Ocean,Paraguay,2017,3781449,1
921,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Paraguay,2017,3077677,2
922,Despacito (Featuring Daddy Yankee),Luis Fonsi,Paraguay,2017,2596368,3
923,Shape of You,Ed Sheeran,Paraguay,2017,2408534,4
924,Escápate Conmigo,"Wisin, Ozuna",Paraguay,2017,2395881,5
925,Felices los 4,Maluma,Paraguay,2017,2334287,6
926,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Paraguay,2017,2247684,7
927,Otra vez (feat. J Balvin),Zion & Lennox,Paraguay,2017,2064532,8
928,Una Lady Como Tú,Manuel Turizo,Paraguay,2017,2026717,9
929,El Amante,Nicky Jam,Paraguay,2017,1964445,10
930,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Paraguay,2020,8723291,1
931,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Paraguay,2020,8381977,2
932,Hawái,Maluma,Paraguay,2020,8149849,3
933,Rojo,J Balvin,Paraguay,2020,7643296,4
934,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Paraguay,2020,7402031,5
935,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Paraguay,2020,7295061,6
936,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez",Paraguay,2020,7210321,7
937,Tusa,"KAROL G, Nicki Minaj",Paraguay,2020,6699821,8
938,"Ay, DiOs Mío!",KAROL G,Paraguay,2020,6590469,9
939,Ignorantes,"Bad Bunny, Sech",Paraguay,2020,6578235,10
940,Tusa,"KAROL G, Nicki Minaj",Peru,2020,27764687,1
941,Hawái,Maluma,Peru,2020,26180531,2
942,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Peru,2020,25750337,3
943,Favorito,Camilo,Peru,2020,20165130,4
944,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Peru,2020,19583570,5
945,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Peru,2020,19529734,6
946,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Peru,2020,19108914,7
947,Tattoo - Remix with Camilo,Rauw Alejandro,Peru,2020,18909147,8
948,"Ay, DiOs Mío!",KAROL G,Peru,2020,18852013,9
949,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Peru,2020,17994947,10
950,Shape of You,Ed Sheeran,Portugal,2017,8498431,1
951,Despacito (Featuring Daddy Yankee),Luis Fonsi,Portugal,2017,6242901,2
952,Unforgettable,"French Montana, Swae Lee",Portugal,2017,4527907,3
953,HUMBLE.,Kendrick Lamar,Portugal,2017,3857333,4
954,Something Just Like This,"The Chainsmokers, Coldplay",Portugal,2017,3783484,5
955,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Portugal,2017,3750396,6
956,Attention,Charlie Puth,Portugal,2017,3675457,7
957,Believer,Imagine Dragons,Portugal,2017,3526117,8
958,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Portugal,2017,3476900,9
959,Congratulations,"Post Malone, Quavo",Portugal,2017,3438788,10
960,MONTERO (Call Me By Your Name),Lil Nas X,Portugal,2021,7734991,1
961,Disco Arranhado - Funk Remix,"Malu, DJ Lucas Beat",Portugal,2021,6357737,2
962,drivers license,Olivia Rodrigo,Portugal,2021,6314066,3
963,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan",Portugal,2021,6313393,4
964,Borboletas,Gama WNTD,Portugal,2021,6086736,5
965,good 4 u,Olivia Rodrigo,Portugal,2021,5585042,6
966,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Portugal,2021,5581622,7
967,Te Amo,Calema,Portugal,2021,5504022,8
968,Tipo Gin - Ao Vivo,MC Kevin o Chris,Portugal,2021,5337486,9
969,Blinding Lights,The Weeknd,Portugal,2021,5206834,10
970,SAD!,XXXTENTACION,Romania,2018,1042193,1
971,Better Now,Post Malone,Romania,2018,842208,2
972,Moonlight,XXXTENTACION,Romania,2018,799942,3
973,God's Plan,Drake,Romania,2018,753241,4
974,Taste (feat. Offset),Tyga,Romania,2018,734259,5
975,In My Feelings,Drake,Romania,2018,707956,6
976,I Like It,"Cardi B, Bad Bunny, J Balvin",Romania,2018,696910,7
977,One Kiss (with Dua Lipa),Calvin Harris,Romania,2018,673576,8
978,Nevermind,Dennis Lloyd,Romania,2018,666919,9
979,SICKO MODE,Travis Scott,Romania,2018,648531,10
980,Todo De Ti,Rauw Alejandro,Spain,2021,106026431,1
981,Pareja Del Año,"Sebastian Yatra, Myke Towers",Spain,2021,77129296,2
982,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Spain,2021,69252593,3
983,Yonaguni,Bad Bunny,Spain,2021,68777478,4
984,Bandido,"Myke Towers, Juhn",Spain,2021,67632340,5
985,La Historia,"El Taiger, DJ Conds",Spain,2021,66898707,6
986,Qué Más Pues?,"J Balvin, Maria Becerra",Spain,2021,66437851,7
987,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",Spain,2021,65517049,8
988,Loco,"Justin Quiles, Chimbala, Zion & Lennox",Spain,2021,64620824,9
989,DÁKITI,"Bad Bunny, Jhay Cortez",Spain,2021,63432743,10
990,"""想見你想見你想見你(電視劇""""想見你""""片尾曲)""",831,Taiwan,2020,14656674,1
991,Without You,高爾宣 OSN,Taiwan,2020,13084537,2
992,怎麼了,Eric Chou,Taiwan,2020,10976185,3
993,真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu,Taiwan,2020,9028220,4
994,說好不哭,"Jay Chou, 阿信",Taiwan,2020,8911253,5
995,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu,Taiwan,2020,8665664,6
996,太陽,Pika Chiu,Taiwan,2020,8345963,7
997,天黑請閉眼 feat. 邱鋒澤,"Nine Chen, Feng Ze",Taiwan,2020,8321024,8
998,CHANGE,E.SO,Taiwan,2020,8286264,9
999,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,Taiwan,2020,8232058,10
1000,ภาพจำ,Pop Pongkool,Thailand,2018,3953590,1
1001,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,Thailand,2018,3601827,2
1002,Good Morning Teacher,Atom Chanakan,Thailand,2018,3206022,3
1003,อาวรณ์,Polycat,Thailand,2018,3201412,4
1004,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,Thailand,2018,2978458,5
1005,คนที่ไม่ใช่,O-Pavee,Thailand,2018,2800736,6
1006,มีผลต่อหัวใจ,Non Tanon,Thailand,2018,2654983,7
1007,ซ่อนกลิ่น,Palmy,Thailand,2018,2546818,8
1008,Day 1 ◑,HONNE,Thailand,2018,2497470,9
1009,นอนได้แล้ว,"F.HERO, The Toys",Thailand,2018,2466219,10
1010,Señorita,"Shawn Mendes, Camila Cabello",United Arab Emirates,2019,1175788,1
1011,Beautiful People (feat. Khalid),Ed Sheeran,United Arab Emirates,2019,690801,2
1012,Dance Monkey,Tones And I,United Arab Emirates,2019,622814,3
1013,I Don't Care (with Justin Bieber),Ed Sheeran,United Arab Emirates,2019,617570,4
1014,bad guy,Billie Eilish,United Arab Emirates,2019,612169,5
1015,Ransom,Lil Tecca,United Arab Emirates,2019,607555,6
1016,Someone You Loved,Lewis Capaldi,United Arab Emirates,2019,580320,7
1017,Lalala,"Y2K, bbno$",United Arab Emirates,2019,576724,8
1018,Circles,Post Malone,United Arab Emirates,2019,546247,9
1019,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",United Arab Emirates,2019,524449,10
1020,The Box,Roddy Ricch,United Arab Emirates,2020,1774326,1
1021,Blinding Lights,The Weeknd,United Arab Emirates,2020,1636092,2
1022,Dance Monkey,Tones And I,United Arab Emirates,2020,1382346,3
1023,Falling,Trevor Daniel,United Arab Emirates,2020,1323816,4
1024,ROCKSTAR (feat. Roddy Ricch),DaBaby,United Arab Emirates,2020,1195516,5
1025,Don't Start Now,Dua Lipa,United Arab Emirates,2020,1192560,6
1026,Blueberry Faygo,Lil Mosey,United Arab Emirates,2020,1164877,7
1027,Someone You Loved,Lewis Capaldi,United Arab Emirates,2020,1121412,8
1028,ROXANNE,Arizona Zervas,United Arab Emirates,2020,1077865,9
1029,Roses - Imanbek Remix,SAINt JHN,United Arab Emirates,2020,1060113,10
1030,STAY (with Justin Bieber),The Kid LAROI,United Arab Emirates,2021,2169036,1
1031,MONTERO (Call Me By Your Name),Lil Nas X,United Arab Emirates,2021,2083590,2
1032,Levitating (feat. DaBaby),Dua Lipa,United Arab Emirates,2021,2019677,3
1033,Astronaut In The Ocean,Masked Wolf,United Arab Emirates,2021,1929995,4
1034,drivers license,Olivia Rodrigo,United Arab Emirates,2021,1809180,5
1035,Kiss Me More (feat. SZA),Doja Cat,United Arab Emirates,2021,1804775,6
1036,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,United Arab Emirates,2021,1770645,7
1037,Heat Waves,Glass Animals,United Arab Emirates,2021,1671678,8
1038,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,United Arab Emirates,2021,1650560,9
1039,good 4 u,Olivia Rodrigo,United Arab Emirates,2021,1587110,10
1040,Miénteme,"TINI, Maria Becerra",Uruguay,2021,4416614,1
1041,Bandido,"Myke Towers, Juhn",Uruguay,2021,3954130,2
1042,Qué Más Pues?,"J Balvin, Maria Becerra",Uruguay,2021,3835838,3
1043,Todo De Ti,Rauw Alejandro,Uruguay,2021,3634273,4
1044,Hecha Pa' Mi,Boza,Uruguay,2021,3194495,5
1045,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,Uruguay,2021,3176248,6
1046,DÁKITI,"Bad Bunny, Jhay Cortez",Uruguay,2021,3146877,7
1047,Pareja Del Año,"Sebastian Yatra, Myke Towers",Uruguay,2021,3069990,8
1048,2:50 Remix,"MYA, TINI, Duki",Uruguay,2021,3001365,9
1049,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Uruguay,2021,2968883,10
1050,STAY (with Justin Bieber),The Kid LAROI,Austria,2021,6590576,1
1051,good 4 u,Olivia Rodrigo,Austria,2021,6313118,2
1052,Beggin',Måneskin,Austria,2021,5918871,3
1053,Heat Waves,Glass Animals,Austria,2021,5876869,4
1054,MONTERO (Call Me By Your Name),Lil Nas X,Austria,2021,5728042,5
1055,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Austria,2021,5570028,6
1056,drivers license,Olivia Rodrigo,Austria,2021,5402507,7
1057,Bad Habits,Ed Sheeran,Austria,2021,5357905,8
1058,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,Austria,2021,5267078,9
1059,Blaues Licht,"RAF Camora, Bonez MC",Austria,2021,5256634,10
1060,Blinding Lights,The Weeknd,Belgium,2020,17820170,1
1061,Roses - Imanbek Remix,SAINt JHN,Belgium,2020,12806487,2
1062,Dance Monkey,Tones And I,Belgium,2020,12366890,3
1063,ROCKSTAR (feat. Roddy Ricch),DaBaby,Belgium,2020,10482260,4
1064,The Box,Roddy Ricch,Belgium,2020,9948004,5
1065,Don't Start Now,Dua Lipa,Belgium,2020,9420606,6
1066,Before You Go,Lewis Capaldi,Belgium,2020,8410573,7
1067,Breaking Me,"Topic, A7S",Belgium,2020,8373990,8
1068,Mood (feat. iann dior),24kGoldn,Belgium,2020,8001313,9
1069,Ride It,Regard,Belgium,2020,7983868,10
1070,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,Brazil,2020,151463282,1
1071,Liberdade Provisória - Ao Vivo,Henrique & Juliano,Brazil,2020,136182471,2
1072,Volta por Baixo - Ao Vivo,Henrique & Juliano,Brazil,2020,130249193,3
1073,Graveto - Ao Vivo,Marília Mendonça,Brazil,2020,129463731,4
1074,S de Saudade,"Luíza & Maurílio, Zé Neto & Cristiano",Brazil,2020,124287227,5
1075,Litrão - Ao Vivo,Matheus & Kauan,Brazil,2020,118346482,6
1076,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,Brazil,2020,112199445,7
1077,Investe Em Mim,Jonas Esticado,Brazil,2020,107126304,8
1078,Ranking,Jorge & Mateus,Brazil,2020,105056132,9
1079,Recairei - Ao Vivo,Os Barões Da Pisadinha,Brazil,2020,103818271,10
1080,Blinding Lights,The Weeknd,Bulgaria,2020,1170664,1
1081,Roses - Imanbek Remix,SAINt JHN,Bulgaria,2020,1031372,2
1082,The Box,Roddy Ricch,Bulgaria,2020,999986,3
1083,HIGHEST IN THE ROOM,Travis Scott,Bulgaria,2020,777730,4
1084,Life Is Good (feat. Drake),Future,Bulgaria,2020,772272,5
1085,ROCKSTAR (feat. Roddy Ricch),DaBaby,Bulgaria,2020,725759,6
1086,Godzilla (feat. Juice WRLD),Eminem,Bulgaria,2020,624951,7
1087,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Bulgaria,2020,624593,8
1088,Don't Start Now,Dua Lipa,Bulgaria,2020,622875,9
1089,SICKO MODE,Travis Scott,Bulgaria,2020,616667,10
1090,Blinding Lights,The Weeknd,Czech Republic,2020,7038881,1
1091,Roses - Imanbek Remix,SAINt JHN,Czech Republic,2020,5493355,2
1092,Dance Monkey,Tones And I,Czech Republic,2020,5219389,3
1093,Až na měsíc,"Viktor Sheen, Nik Tendo, Calin, Hasan",Czech Republic,2020,4683600,4
1094,Someone You Loved,Lewis Capaldi,Czech Republic,2020,3803970,5
1095,Watermelon Sugar,Harry Styles,Czech Republic,2020,3653467,6
1096,Rolls,"Yzomandias, Nik Tendo",Czech Republic,2020,3503257,7
1097,Don't Start Now,Dua Lipa,Czech Republic,2020,3396769,8
1098,Breaking Me,"Topic, A7S",Czech Republic,2020,3395512,9
1099,Ride It,Regard,Czech Republic,2020,3247550,10
1100,Vai Amor,Gilli,Denmark,2019,17015125,1
1101,Dance Monkey,Tones And I,Denmark,2019,12873529,2
1102,Paris,"Lord Siva, Vera",Denmark,2019,11997202,3
1103,Shallow,"Lady Gaga, Bradley Cooper",Denmark,2019,11959322,4
1104,Someone You Loved,Lewis Capaldi,Denmark,2019,11770461,5
1105,bad guy,Billie Eilish,Denmark,2019,11707781,6
1106,Señorita,"Shawn Mendes, Camila Cabello",Denmark,2019,11241857,7
