,title,artist,date,n
1041,Eiskalt,"Loredana, Mozzik",2019-08,20
1042,Baller los,MERO,2018-11,20
1043,Royal Rumble,"Kalazh44, Capital Bra, Samra, Nimo, Luciano",2019-06,20
1044,Goteo,Duki,2019-09,20
1045,quando a bad bater - ao vivo,Luan Santana,2019-09,20
1046,Au DD,PNL,2019-03,20
1047,Lev nu dö sen,Miss Li,2019-11,20
1048,عشق,Faisal Abdulkareem,2020-04,20
1049,Auto Blu,"Shiva, Eiffel 65",2020-04,20
1050,Me Rehúso,Danny Ocean,2017-08,20
1051,Bank Account,21 Savage,2017-08,20
1052,Imahe,Magnus Haven,2020-02,20
1053,BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",2020-04,20
1054,Kein Wort,"Juju, Loredana, Miksu / Macloud",2020-01,20
1055,"""想見你想見你想見你(電視劇""""想見你""""片尾曲)""",831,2020-08,20
1056,Sommergewitter,Pashanim,2021-07,20
1057,وناسه,DJ-MK,2020-09,20
1058,Blå Himmel (feat. Hans Philip),KESI,2020-08,20
1059,Melbourne,"Morvasu, TangBadVoice",2020-08,20
1060,Petrouchka (feat. PLK),Soso Maness,2021-07,20
1061,HUNDO,Branco,2020-11,20
1062,Dejlig,"Jimilian, Fouli",2020-10,20
1063,Mamichula - con Nicki Nicole,"Trueno, Bizarrap, Taiu, TATOOL",2020-07,20
1064,Blaues Licht,"RAF Camora, Bonez MC",2021-07,20
1065,Martılar,EDIS,2021-04,20
1066,To the Bone,Pamungkas,2021-05,20
1067,เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly),"Tilly Birds, MILLI",2021-05,20
1068,ドライフラワー,優里,2021-05,20
1069,أسياد الصوت,"Wegz, LZHYMR",2021-05,20
1070,Binibini,Zack Tabudlo,2021-05,20
1071,ТЫ ГОРИШЬ КАК ОГОНЬ,SLAVA MARLOW,2021-02,20
1072,Batom de Cereja - Ao Vivo,Israel & Rodolffo,2021-03,20
1073,أسياد الصوت,"Wegz, LZHYMR",2021-04,20
1074,E先生 連環不幸事件,Edan 呂爵安,2021-06,20
1075,Réseaux,Niska,2017-09,20
1076,ドライフラワー,Yuuri,2021-11,20
1077,Suena El Dembow,"Joey Montana, Sebastian Yatra",2017-09,20
1078,Kiss cam (podryw roku),Mata,2021-08,20
1079,Shivers,Ed Sheeran,2021-11,20
1080,breeze,"Samey, Gleb, Natalia Hulejova",2021-09,20
1081,TDB,OBOY,2021-10,20
1082,Solmussa (feat. BEHM),Pikku G,2017-12,20
1083,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2017-12,20
1084,"""Raataan Lambiyan (From """"Shershaah"""")""","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",2021-08,20
1085,Bandana,"Big Baby Tape, kizaru",2021-10,20
1086,Blijf Bij Mij,"Ronnie Flex, Maan",2017-12,20
1087,Toosie Slide,Drake,2020-06,19
1088,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"Anitta, Mc Zaac, Maejor",2018-02,19
1089,Otra vez (feat. J Balvin),Zion & Lennox,2017-01,19
1090,MORE & MORE,TWICE,2020-06,19
1091,Amor de Verdade,"MC Kekel, MC Rita",2018-06,19
1092,Amore e Capoeira,"Takagi & Ketra, Giusy Ferreri, Sean Kingston",2018-08,19
1093,Ciumeira - Ao Vivo,Marília Mendonça,2018-09,19
1094,Devia Ir,Wet Bed Gang,2018-08,19
1095,91's,PNL,2018-08,19
1096,Kokain,"Bonez MC, RAF Camora, Gzuz",2018-10,19
1097,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)","$hirak, Lil Kleine",2018-07,19
1098,TELÉFONO,Aitana,2018-08,19
1099,Mary Jane (Radio Edit),Burry Soprano,2018-09,19
1100,Su Casa,"KESI, Gilli",2018-08,19
1101,Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",2019-01,19
1102,Prinzessa,Capital Bra,2019-01,19
1103,Khapta,"Heuss L'enfoiré, Sofiane",2019-02,19
1104,Soldi,Mahmood,2019-02,19
1105,Rompe,"Priceless, Frenna, Murda",2019-03,19
1106,Pauwi Nako,"PDL, Skusta Clee, Jnske, Bullet D, Yuridope, Flow G",2019-03,19
1107,Bússola,Nenny,2019-09,19
1108,Al Mafrood,Aseel Hameem,2019-10,19
1109,Adicto (with Anuel AA & Ozuna),Tainy,2019-09,19
1110,Ona by tak chciała,Ronnie Ferrari,2019-08,19
1111,Sunday Best,Surfaces,2020-03,19
1112,Liberdade Provisória,Henrique & Juliano,2019-12,19
1113,Psycho,Red Velvet,2019-12,19
1114,Akad,Payung Teduh,2017-08,19
1115,Penelope (feat. Clever),william,2020-09,19
1116,Shayad,"Pritam, Arijit Singh",2020-07,19
1117,Maafkan Aku #terlanjurmencinta,Tiara Andini,2020-08,19
1118,TKN (feat. Travis Scott),ROSALÍA,2020-07,19
1119,Entre Nosotros,"Tiago PZK, LIT Killah",2021-07,19
1120,Here's Your Perfect,Jamie Miller,2021-07,19
1121,Melukis Senja,Budi Doremi,2020-11,19
1122,Angst,Apache 207,2021-01,19
1123,Naach Meri Rani,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",2020-11,19
1124,PUSSY BOY,Egor Kreed,2021-07,19
1125,Ale jazz!,"sanah, Vito Bambino",2021-03,19
1126,פסקול חיי,Omer Adam,2021-03,19
1127,Bertaut,Nadin Amizah,2021-02,19
1128,Я в моменте,"Dzharakhov, Markul",2021-06,19
1129,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan",2021-05,19
1130,happier,Olivia Rodrigo,2021-06,19
1131,La musica non c'è,Coez,2017-11,19
1132,Keify Keda,"Wegz, Disco Misr",2021-11,19
1133,SI TÚ SUPIERAS - Bonus Track,Feid,2021-09,19
1134,2CB,"RAF Camora, Luciano",2021-09,19
1135,А+Г=ВНЛ,"Galena, Azis",2021-12,19
1136,Him & I (with Halsey),G-Eazy,2018-01,19
1137,Arranhão - Ao Vivo,Henrique & Juliano,2021-09,19
1138,İki Aşık,Ersay Üner,2017-12,19
1139,LA FAMA (with The Weeknd),ROSALÍA,2021-11,19
1140,Los Malvekes,"Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile",2021-11,19
1141,Mwaka Moon,"Kalash, Damso",2017-12,19
1142,FRIENDS,"Marshmello, Anne-Marie",2018-05,18
1143,Soy Peor,Bad Bunny,2017-01,18
1144,Cupido (feat. Quavo),Sfera Ebbasta,2018-03,18
1145,All Mine,Kanye West,2018-06,18
1146,I Like It,"Cardi B, Bad Bunny, J Balvin",2018-06,18
1147,Africain,Stormy,2020-06,18
1148,öölaps!,nublu,2018-09,18
1149,Shotgun,George Ezra,2018-07,18
1150,Toda - Remix,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-08,18
1151,Happier,"Marshmello, Bastille",2018-09,18
1152,打上花火,"DAOKO, Kenshi Yonezu",2018-06,18
1153,Toda - Remix,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-06,18
1154,เป็นไรไหม?,"OG-ANIC, Lazyloxy",2018-10,18
1155,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,2018-11,18
1156,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,2018-12,18
1157,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",2019-05,18
1158,Ikuinen vappu,JVG,2019-02,18
1159,Rêves bizarres (feat. Damso),Orelsan,2018-11,18
1160,"""Bekhayali (From """"Kabir Singh"""")""","Sachet Tandon, Sachet-Parampara",2019-06,18
1161,Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",2018-12,18
1162,Tal Vez,Paulo Londra,2019-04,18
1163,Nautilus,Shindy,2019-05,18
1164,ภาวนา,MEYOU,2019-09,18
1165,Reünie,Snelle,2019-09,18
1166,Caliente,"Mente Fuerte, Hawk, Baghdad",2019-06,18
1167,Tutu,"Camilo, Pedro Capó",2019-10,18
1168,Patointeligencja,Mata,2020-01,18
1169,blun7 a swishland,tha Supreme,2020-01,18
1170,Unforgettable,"French Montana, Swae Lee",2017-08,18
1171,Croissantid,nublu,2020-04,18
1172,J Lo,"Kontrafakt, Mirez, Dalyb, Zayo, Dokkeytino",2019-12,18
1173,death bed (coffee for your head),"Powfu, beabadoobee",2020-03,18
1174,Karaoke,"Boomdabash, Alessandra Amoroso",2020-07,18
1175,Komið Að Því,"FM95BLÖ, Sverrir Bergmann, Jóhanna Guðrún",2021-07,18
1176,Africain,Stormy,2020-07,18
1177,Mood Swings (feat. Lil Tjay),Pop Smoke,2020-08,18
1178,ICE (feat. MORGENSHTERN),MORGENSHTERN,2020-08,18
1179,Billy Kid,"Reto, Kubi Producent",2020-10,18
1180,Fever,"Dua Lipa, Angèle",2020-11,18
1181,Qué Más Pues?,"J Balvin, Maria Becerra",2021-07,18
1182,Rockin' Around The Christmas Tree,Brenda Lee,2020-12,18
1183,loodus ja hobused,"5MIINUST, Hendrik Sal-Saller",2020-08,18
1184,Nota,Dizzy DROS,2020-11,18
1185,Street Values,"VLOSPA, Light",2020-11,18
1186,Моя голова винтом (My head is spinning like a screw),kostromin,2021-02,18
1187,ТЫ ГОРИШЬ КАК ОГОНЬ,SLAVA MARLOW,2021-03,18
1188,Binibini,Zack Tabudlo,2021-04,18
1189,Haram (Pablo II),ElGrandeToto,2021-06,18
1190,malibu,sangiovanni,2021-05,18
1191,Muộn Rồi Mà Sao Còn,Sơn Tùng M-TP,2021-06,18
1192,La kiffance,Naps,2021-08,18
1193,Turraka - Remix,"Kaleb Di Masi, Ecko, Papichamp, Blunted Vato, Bruno LC",2021-10,18
1194,Samma gamla vanliga - Remix,"Cledos, ibe, Averagekidluke, A36",2021-11,18
1195,Monastery,"Ryan Castro, Feid",2021-11,18
1196,Popkorni,JVG,2018-01,18
1197,Havana,"Camila Cabello, Young Thug",2017-10,18
1198,Bước Qua Nhau,Vũ.,2021-11,18
1199,Millionaire,SNIK,2020-06,17
1200,Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,2018-05,17
1201,Malibu,Vegas Jones,2018-04,17
1202,Freaky Friday (feat. Chris Brown),Lil Dicky,2018-05,17
1203,The Middle,"Zedd, Maren Morris, Grey",2018-04,17
1204,Play Date,Melanie Martinez,2020-05,17
1205,Fan,"Ronnie Flex, Famke Louise",2018-03,17
1206,Sydpå,Bro,2018-04,17
1207,Lucid Dreams,Juice WRLD,2018-06,17
1208,عشق,Faisal Abdulkareem,2020-05,17
1209,FAKE LOVE,BTS,2018-07,17
1210,DDU-DU DDU-DU - KR Ver.,BLACKPINK,2018-09,17
1211,Cizí zeď,ONEMANSHOW Foundation,2018-09,17
1212,Sin Pijama,"Becky G, Natti Natasha",2018-08,17
1213,Love Someone,Lukas Graham,2018-10,17
1214,Culo,"Bizzey, Frenna, KM, Ramiks",2018-10,17
1215,Næsta,"JóiPé, Króli, GDRN, SZK",2019-01,17
1216,Cherry Lady,Capital Bra,2019-04,17
1217,Felaket,Ezhel,2019-02,17
1218,Goutte d'eau,Ninho,2019-03,17
1219,X,KESI,2019-01,17
1220,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09,17
1221,Katten i trakten,Einár,2019-02,17
1222,Första Klass,Einár,2019-06,17
1223,You Need To Calm Down,Taylor Swift,2019-06,17
1224,מסע,Eliad,2019-10,17
1225,Mademoiselle,Sfera Ebbasta,2019-03,17
1226,Hei rakas,BEHM,2019-12,17
1227,Hei rakas,BEHM,2019-11,17
1228,Unutulacak Dünler,Gazapizm,2020-04,17
1229,On Fire,THE ROOP,2020-03,17
1230,Habiba,Boef,2017-04,17
1231,Drip,"SNIK, Mad Clip",2020-03,17
1232,Réseaux,Niska,2017-07,17
1233,Roses - Imanbek Remix,SAINt JHN,2020-07,17
1234,Rólegur Kúreki,BRÍET,2020-12,17
1235,แปลไม่ออก - Ost. แปลรักฉันด้วยใจเธอ,Billkin,2020-11,17
1236,Recairei - Ao Vivo,Os Barões Da Pisadinha,2020-12,17
1237,The Business,Tiësto,2020-12,17
1238,Du måste finnas,Newkid,2020-12,17
1239,Yeshbahak Galbi,Aseel Hameem,2020-12,17
1240,ถ้าเธอรักฉันจริง,Three Man Down,2020-12,17
1241,willow,Taylor Swift,2020-12,17
1242,Patoreakcja,Mata,2021-04,17
1243,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,2021-03,17
1244,Gamora,"Hov1, Einár",2021-03,17
1245,רוצה שלום,Raviv Kaner,2021-02,17
1246,Cristal & МОЁТ,MORGENSHTERN,2021-02,17
1247,tystnar i luren,"Miriam Bryant, Victor Leksell",2021-02,17
1248,Vervloekt,"Frenna, Diquenza",2017-11,17
1249,Think Before I Talk,Astrid S,2017-09,17
1250,Butter,BTS,2021-08,17
1251,Sobrio,Maluma,2021-11,17
1252,Ik Ga Zwemmen,Mart Hoogkamer,2021-08,17
1253,Criminal,"Natti Natasha, Ozuna",2017-09,17
1254,Rockin' Around The Christmas Tree,Brenda Lee,2021-12,17
1255,EVERY SINGLE DAY,FELIX SANDMAN,2018-03,16
1256,Hayaan Mo Sila,"Ex Battalion, O.C. Dawgs",2018-02,16
1257,Peo lõpp,5MIINUST,2020-06,16
1258,Bi Sonraki Hayatımda Gel,"Murda, Ezhel",2020-05,16
1259,Shayad,"Pritam, Arijit Singh",2020-06,16
1260,Largado As Traças - Acústico,Zé Neto & Cristiano,2018-04,16
1261,ภาพจำ,Pop Pongkool,2018-03,16
1262,Habitué,Dosseh,2018-05,16
1263,Shayad,"Pritam, Arijit Singh",2020-05,16
1264,Breaking Me,"Topic, A7S",2020-06,16
1265,Eastside (with Halsey & Khalid),benny blanco,2018-10,16
1266,Ao Vivo E A Cores,"Matheus & Kauan, Anitta",2018-08,16
1267,Youngblood,5 Seconds of Summer,2018-07,16
1268,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",2019-01,16
1269,Without Me,Halsey,2018-10,16
1270,ממה את מפחדת,"Eyal Golan, Benaia Barabi",2019-05,16
1271,Hasta Que Dios Diga,"Anuel AA, Bad Bunny",2020-05,16
1272,Ela É do Tipo,MC Kevin o Chris,2019-05,16
1273,Buwan,juan karlos,2018-10,16
1274,Solo de Mi,Bad Bunny,2018-12,16
1275,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2018-12,16
1276,Talk,"Khalid, Disclosure",2019-03,16
1277,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2018-11,16
1278,Roller,Apache 207,2019-09,16
1279,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,2019-09,16
1280,Ne reviens pas,"Gradur, Heuss L'enfoiré",2020-01,16
1281,Señorita,"Shawn Mendes, Camila Cabello",2020-01,16
1282,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",2019-12,16
1283,Essa Saia (feat. Ivandro),Bispo,2019-10,16
1284,Angst,"Loredana, Rymez",2020-03,16
1285,Lettre à une femme,Ninho,2020-04,16
1286,Antaudun,Reino Nordin,2017-04,16
1287,Pretender,Official HIGE DANdism,2020-04,16
1288,دورك جي,Wegz,2020-03,16
1289,Unutulacak Dünler,Gazapizm,2020-03,16
1290,Nimet,"Didomido, Eglo G",2020-09,16
1291,Husavik (My Hometown),"Will Ferrell, My Marianne",2020-07,16
1292,Kendime Sardım,Oğuzhan Koç,2020-07,16
1293,Unterwegs,"KitschKrieg, Jamule, SFR",2020-08,16
1294,Bottiglie Privè,Sfera Ebbasta,2020-11,16
1295,Bande organisée,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",2020-08,16
1296,أجمل غرامي,Abdullah Al Farwan,2020-10,16
1297,HOLIDAY,Lil Nas X,2020-12,16
1298,L'baida mon amour,7ari,2020-10,16
1299,Elpida,Mad Clip,2020-12,16
1300,Ge upp igen,"Miriam Bryant, Yasin",2020-11,16
1301,แฟนใหม่หน้าคุ้น,"Maiyarap, MILLI",2020-10,16
1302,Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",2021-02,16
1303,Extraordinary,Anatomy Rabbit,2021-02,16
1304,Voodoo,"Light, Hawk",2021-02,16
1305,Ástrós (feat. BRÍET),Bubbi Morthens,2021-03,16
1306,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",2021-02,16
1307,Sen Olsan Bari,Aleyna Tilki,2017-09,16
1308,אפס מאמץ,"Static & Ben El, Netta",2021-09,16
1309,1-800-273-8255,"Logic, Alessia Cara, Khalid",2017-09,16
1310,Bilmem Mi?,Sefo,2021-09,16
1311,My Universe,"Coldplay, BTS",2021-11,16
1312,Praha/Vídeň,Calin,2021-11,16
1313,breeze,"Samey, Gleb, Natalia Hulejova",2021-10,16
1314,NASA,"Rack, Saske",2021-08,16
1315,abcdefu,GAYLE,2021-12,16
1316,Koisuru Fortune Cookie คุกกี้เสี่ยงทาย,BNK48,2018-01,16
1317,Ungir Strákar - Deep Mix,Floni,2017-12,16
1318,Shape of You,Ed Sheeran,2018-02,15
1319,Mundo,IV Of Spades,2018-04,15
1320,Một Cú Lừa,Bich Phuong,2020-06,15
1321,Go Gettas,"andrei, Killa Fonic, Nane, bbno$, Azteca",2020-06,15
1322,Ignite,"Alan Walker, Julie Bergan, K-391, SEUNGRI",2018-05,15
1323,Let Me,ZAYN,2018-05,15
1324,Mundo,IV Of Spades,2018-06,15
1325,Smog,Damso,2018-06,15
1326,One Night Stand,Capital Bra,2018-05,15
1327,Psycho (feat. Ty Dolla $ign),Post Malone,2018-04,15
1328,夜に駆ける,YOASOBI,2020-05,15
1329,One Kiss (with Dua Lipa),Calvin Harris,2018-07,15
1330,Big Body Benz,Bonez MC,2020-06,15
1331,Call Out My Name,The Weeknd,2018-03,15
1332,Małomiasteczkowy,Dawid Podsiadło,2018-07,15
1333,Toda - Remix,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-09,15
1334,SAD!,XXXTENTACION,2018-07,15
1335,怪美的,Jolin Tsai,2019-01,15
1336,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2018-12,15
1337,Roadrunner,Bonez MC,2020-05,15
1338,Vermissen (feat. Henning May),Juju,2019-05,15
1339,Paris,"Lord Siva, Vera",2019-04,15
1340,HP,Maluma,2019-04,15
1341,Harami,Samra,2019-04,15
1342,Au DD,PNL,2019-05,15
1343,Vai Amor,Gilli,2019-05,15
1344,tmt,nublu,2018-11,15
1345,Až na měsíc,"Viktor Sheen, Nik Tendo, Calin, Hasan",2019-05,15
1346,Język Ciała,"Tymek, Big Scythe",2019-03,15
1347,Wieder Lila,"Samra, Capital Bra",2019-06,15
1348,Vivi Good,"Julinho Ksd, Yuran, Trista",2019-10,15
1349,Olabilir,MERO,2019-06,15
1350,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,2019-08,15
1351,說好不哭,"Jay Chou, 阿信",2019-10,15
1352,Lối Nhỏ,"Đen, Phương Anh Đào",2019-12,15
1353,Lover,Taylor Swift,2019-08,15
1354,Roller,Apache 207,2019-10,15
1355,Viac,"Nerieš, Separ",2020-03,15
1356,Before You Go,Lewis Capaldi,2019-11,15
1357,Kærlighed (feat. Gilli & Kesi),ATYPISK,2019-11,15
1358,Think About Things,Daði Freyr,2020-03,15
1359,KEIN SCHLAF,"Nimo, Hava",2019-12,15
1360,Patointeligencja,Mata,2019-12,15
1361,Bi Sonraki Hayatımda Gel,"Murda, Ezhel",2020-03,15
1362,Svag,Victor Leksell,2020-01,15
1363,JESIEŃ,"Quebonafide, Natalia Szroeder",2020-02,15
1364,Svag,Victor Leksell,2020-04,15
1365,Fullir Vasar,Aron Can,2017-03,15
1366,Felices los 4,Maluma,2017-04,15
1367,Come Again,"Ronnie Flex, Boef",2017-05,15
1368,Unforgettable,"French Montana, Swae Lee",2017-07,15
1369,Djomb - Bien ou quoi,Bosh,2020-07,15
1370,Haram (Pablo II),ElGrandeToto,2021-07,15
1371,ЗДРАВСТВУЙТЕ (feat. OG Buda),Egor Kreed,2021-07,15
1372,Ibiza,"Benny Jamz, Gilli, KESI, B.O.C",2021-07,15
1373,Etsi,SNIK,2020-09,15
1374,Igjen Og Igjen (feat. TIX),El Papi,2020-08,15
1375,Pumpa,"Ego, Sima, Ben Cristovao",2020-11,15
1376,Titliaan,"Afsana Khan, Harrdy Sandhu, Sargun Mehta",2020-12,15
1377,BLUEBERRY,Guzior,2020-12,15
1378,Mghayer,ElGrandeToto,2021-01,15
1379,Jolie nana,Aya Nakamura,2020-07,15
1380,Volando - Remix,"Mora, Bad Bunny, Sech",2021-07,15
1381,Bigcityboi (feat. Touliver),Binz,2020-07,15
1382,Thức Giấc,Da LAB,2021-07,15
1383,Paraadna,"nublu, gameboy tetris, Raul Ojamaa",2020-12,15
1384,ZORO,"AlbertNbn, Nane",2020-12,15
1385,Waalian,Harnoor,2020-12,15
1386,FLÝG UPP,Aron Can,2021-05,15
1387,Voodoo,"Light, Hawk",2020-12,15
1388,Rodinnej Typ,Yzomandias,2021-02,15
1389,"Er Her (Artigeardit, KESI)",Artigeardit,2021-06,15
1390,Ich darf das,Shirin David,2021-05,15
1391,Ella,Boza,2021-04,15
1392,Me Rehúso,Danny Ocean,2017-09,15
1393,Eteği Belinde,Manuş Baba,2017-11,15
1394,2:50 Remix,"MYA, TINI, Duki",2021-06,15
1395,B.O.B.A.,"JóiPé, Króli",2017-10,15
1396,Agora Vai Sentar,MC's Jhowzinho & Kadinho,2017-11,15
1397,Girls Want Girls (with Lil Baby),Drake,2021-09,15
1398,Latina,"Leaderbrain, RICTA",2021-08,15
1399,水平線,back number,2021-10,15
1400,Blu Celeste,BLANCO,2021-09,15
1401,Nincsen gond,ALEE,2021-11,15
1402,Tak Tiki Tak,Harry Nach,2020-06,14
1403,Pretender,Official HIGE DANdism,2020-05,14
1404,It Ain't Me (with Selena Gomez),Kygo,2017-02,14
1405,FRIENDS,"Marshmello, Anne-Marie",2018-02,14
1406,One Night Stand,Capital Bra,2018-06,14
1407,079,Lo & Leduc,2018-03,14
1408,2002,Anne-Marie,2018-10,14
1409,U.S.A.,DA PUMP,2018-08,14
1410,Siyah,"Patron, Sagopa Kajmer",2020-06,14
1411,Nonstop,Drake,2018-06,14
1412,Jaloux,Dadju,2018-10,14
1413,Prinzessa,Capital Bra,2019-02,14
1414,SOS,"Avicii, Aloe Blacc",2019-05,14
1415,Nasılsın Aşkta?,Aleyna Tilki,2019-05,14
1416,Médicament,"Niska, Booba",2019-05,14
1417,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,2019-05,14
1418,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",2019-06,14
1419,Susamam,"Şanışer, Kamufle, Mert Şenel, Mirac, Aga B, Defkhan, Aspova, Yeis Sensura, Sehabe, Deniz Tekin, Ozbi, Sokrat St, Tahribad-ı İsyan, Beta, Server Uraz, Hayki, Ados, Fuat",2019-09,14
1420,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin",2019-07,14
1421,Free,Marwan Pablo,2019-11,14
1422,ภาวนา,MEYOU,2019-08,14
1423,VERDEN VENDER,"Branco, Gilli",2019-11,14
1424,Huracan,"Samra, Capital Bra",2019-09,14
1425,Kærlighed (feat. Gilli & Kesi),ATYPISK,2019-12,14
1426,รักติดไซเรน,"Ice Paris, Pearwah",2019-08,14
1427,Muistuta mua,Pyhimys,2019-08,14
1428,ฝนตกไหม,Three Man Down,2020-02,14
1429,I LOVE...,Official HIGE DANdism,2020-04,14
1430,Black Swan,BTS,2020-01,14
1431,Shayad,"Pritam, Arijit Singh",2020-02,14
1432,On Fire,THE ROOP,2020-02,14
1433,After Hours,The Weeknd,2020-02,14
1434,Habiba,Boef,2017-03,14
1435,OK,"Robin Schulz, James Blunt",2017-06,14
1436,飞鸟和蝉,Ren Ran,2021-07,14
1437,G.O.A.T.,Diljit Dosanjh,2020-08,14
1438,Lollipop,"Eldzhey, MORGENSHTERN",2020-09,14
1439,Bigcityboi (feat. Touliver),Binz,2020-08,14
1440,A Un Passo Dalla Luna,"Rocco Hunt, Ana Mena",2020-09,14
1441,Breaking Me,"Topic, A7S",2020-07,14
1442,"""想見你想見你想見你(電視劇""""想見你""""片尾曲)""",831,2020-09,14
1443,Universum,"nublu, Mikael Gabriel",2020-12,14
1444,Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",2020-12,14
1445,Maafkan Aku #terlanjurmencinta,Tiara Andini,2020-07,14
1446,شيل البيض,Barry,2020-12,14
1447,По Глазам,SLAVA MARLOW,2020-10,14
1448,The Business,Tiësto,2020-11,14
1449,VOCE,Madame,2021-03,14
1450,MCQUEEN,"RH, Branco",2021-02,14
1451,ДУЛО,MORGENSHTERN,2021-05,14
1452,Madonna,"Bausa, Apache 207",2021-02,14
1453,Rampampam,Minelli,2021-05,14
1454,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",2021-03,14
1455,İmkansızım,Ezhel,2017-11,14
1456,KUMITE,Salmo,2021-11,14
1457,"Dear My Friend,",姜濤,2021-08,14
1458,Way 2 Sexy (with Future & Young Thug),Drake,2021-09,14
1459,Abalele,"Kabza De Small, DJ Maphorisa, Ami Faku",2021-10,14
1460,Vuelve,"Daddy Yankee, Bad Bunny",2017-10,14
1461,Já ég veit,"Birnir, Herra Hnetusmjör",2018-01,14
1462,Abalele (feat. Ami Faku),"Kabza De Small, DJ Maphorisa",2021-09,14
1463,Wolves,"Selena Gomez, Marshmello",2017-10,14
1464,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"Anitta, Mc Zaac, Maejor",2017-12,14
1465,Magisch,"Olexesh, Edin",2018-04,13
1466,All I Need,"Joakim Lundell, Arrhult",2017-02,13
1467,Shape of You,Ed Sheeran,2018-04,13
1468,Roman,EDIS,2018-03,13
1469,death bed (coffee for your head),"Powfu, beabadoobee",2020-05,13
1470,Shape of You,Ed Sheeran,2018-05,13
1471,Versace on the Floor,Bruno Mars,2017-02,13
1472,Change,ONE OK ROCK,2018-04,13
1473,Sour Candy (with BLACKPINK),Lady Gaga,2020-06,13
1474,Peace & Love,"Charlie Charles, Sfera Ebbasta, Ghali",2018-05,13
1475,Bùa Yêu,Bich Phuong,2018-06,13
1476,Người Hãy Quên 'em Đi,Mỹ Tâm,2018-03,13
1477,Rikkinäinen Prinsessa,Nikke Ankara,2018-02,13
1478,Kevät,"Adi L Hasla, Pihlaja",2018-04,13
1479,呼吸有害,Karen Mok,2020-06,13
1480,DDU-DU DDU-DU - KR Ver.,BLACKPINK,2018-08,13
1481,打上花火,"DAOKO, Kenshi Yonezu",2018-08,13
1482,Nera,Irama,2018-06,13
1483,Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",2018-09,13
1484,500 PS,"Bonez MC, RAF Camora",2018-10,13
1485,Parado no Bailão,"MC L da Vinte, MC Gury",2018-12,13
1486,Anh Đếch Cần Gì Nhiều Ngoài Em,"Đen, Thành Đồng, Vũ.",2018-11,13
1487,Beautiful People (feat. Khalid),Ed Sheeran,2019-07,13
1488,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",2019-11,13
1489,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,2019-09,13
1490,Money In The Grave (Drake ft. Rick Ross),Drake,2019-06,13
1491,quando a bad bater - ao vivo,Luan Santana,2019-08,13
1492,Mekanın Sahibi,Norm Ender,2019-07,13
1493,Reünie,Snelle,2019-08,13
