,title,artist,region,year,n,Rank
0,Levitating (feat. DaBaby),Dua Lipa,Belgium,2021,334,1
1,Shallow,"Lady Gaga, Bradley Cooper",Belgium,2021,334,2
2,Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",Belgium,2021,334,3
3,Blinding Lights,The Weeknd,Belgium,2021,334,4
4,The Business,Tiësto,Belgium,2021,334,5
5,Dance Monkey,Tones And I,Belgium,2021,334,6
6,Fever,"Dua Lipa, Angèle",Belgium,2021,334,7
7,Head & Heart (feat. MNEK),Joel Corry,Belgium,2021,334,8
8,you broke me first,Tate McRae,Belgium,2021,334,9
9,Before You Go,Lewis Capaldi,Belgium,2021,334,10
10,Someone You Loved,Lewis Capaldi,Belgium,2021,334,11
11,Riptide,Vance Joy,Belgium,2021,334,12
12,Mood (feat. iann dior),24kGoldn,Belgium,2021,334,13
13,All of Me,John Legend,Belgium,2021,333,14
14,Another Love,Tom Odell,Belgium,2021,333,15
15,lovely (with Khalid),Billie Eilish,Belgium,2021,333,16
16,WITHOUT YOU,The Kid LAROI,Belgium,2021,333,17
17,Arcade,Duncan Laurence,Belgium,2021,333,18
18,Wake Me Up,Avicii,Belgium,2021,332,19
19,Bohemian Rhapsody - Remastered 2011,Queen,Belgium,2021,332,20
20,Péssimo Negócio (Ao Vivo),Dilsinho,Brazil,2019,365,1
21,Sem Sal - Ao Vivo,Marília Mendonça,Brazil,2019,365,2
22,Cidade Vizinha - Ao Vivo,Henrique & Juliano,Brazil,2019,365,3
23,Meu Abrigo,Melim,Brazil,2019,365,4
24,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,Brazil,2019,365,5
25,Ciumeira - Ao Vivo,Marília Mendonça,Brazil,2019,365,6
26,Poesia Acústica #6: Era uma Vez,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak",Brazil,2019,365,7
27,Cobaia,"Lauana Prado, Maiara & Maraisa",Brazil,2019,365,8
28,Dona de mim,IZA,Brazil,2019,365,9
29,Espaçosa Demais - Ao Vivo,Felipe Araújo,Brazil,2019,365,10
30,Maturidade (feat. Matheus & Kauan),Avine Vinny,Brazil,2019,365,11
31,Believer,Imagine Dragons,Brazil,2019,365,12
32,Cem Mil - Ao Vivo,Gusttavo Lima,Brazil,2019,365,13
33,Bebi Liguei - Ao Vivo,Marília Mendonça,Brazil,2019,365,14
34,Deixa (feat. Ana Gabriela),Lagum,Brazil,2019,365,15
35,Ouvi Dizer,Melim,Brazil,2019,365,16
36,Hoje Eu Vou Parar Na Gaiola,"Mc Livinho, Rennan da Penha",Brazil,2019,365,17
37,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,Brazil,2019,365,18
38,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,Brazil,2019,365,19
39,Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",Brazil,2019,365,20
40,Lucid Dreams,Juice WRLD,Canada,2019,365,1
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Canada,2019,365,2
42,Wow.,Post Malone,Canada,2019,364,3
43,SICKO MODE,Travis Scott,Canada,2019,364,4
44,Shallow,"Lady Gaga, Bradley Cooper",Canada,2019,364,5
45,when the party's over,Billie Eilish,Canada,2019,364,6
46,Going Bad (feat. Drake),Meek Mill,Canada,2019,364,7
47,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Canada,2019,363,8
48,Without Me,Halsey,Canada,2019,363,9
49,Eastside (with Halsey & Khalid),benny blanco,Canada,2019,363,10
50,Happier,"Marshmello, Bastille",Canada,2019,363,11
51,rockstar (feat. 21 Savage),Post Malone,Canada,2019,363,12
52,Better Now,Post Malone,Canada,2019,363,13
53,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Canada,2019,363,14
54,SAD!,XXXTENTACION,Canada,2019,360,15
55,Youngblood,5 Seconds of Summer,Canada,2019,360,16
56,Noticed,Lil Mosey,Canada,2019,356,17
57,Be Alright,Dean Lewis,Canada,2019,355,18
58,I Like Me Better,Lauv,Canada,2019,354,19
59,Look Back at It,A Boogie Wit da Hoodie,Canada,2019,354,20
60,Me Rehúso,Danny Ocean,Dominican Republic,2017,362,1
61,Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",Dominican Republic,2017,362,2
62,Soy Peor,Bad Bunny,Dominican Republic,2017,362,3
63,Vacaciones,Wisin,Dominican Republic,2017,362,4
64,Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",Dominican Republic,2017,362,5
65,Dile Que Tu Me Quieres,Ozuna,Dominican Republic,2017,362,6
66,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Dominican Republic,2017,362,7
67,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",Dominican Republic,2017,362,8
68,Otra vez (feat. J Balvin),Zion & Lennox,Dominican Republic,2017,362,9
69,Me llamas (feat. Maluma) - Remix,Piso 21,Dominican Republic,2017,362,10
70,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcangel, Bad Bunny",Dominican Republic,2017,361,11
71,Caile (feat. Zion & De La Ghetto),"Revol, Bad Bunny, Bryant Myers",Dominican Republic,2017,361,12
72,One Dance,"Drake, WizKid, Kyla",Dominican Republic,2017,361,13
73,Me Ama Me Odia,"Ozuna, Cosculluela, Revol",Dominican Republic,2017,361,14
74,Privado,"Rvssian, Nicky Jam, Farruko, Arcangel, Konshens",Dominican Republic,2017,359,15
75,Reggaetón Lento (Bailemos),CNCO,Dominican Republic,2017,358,16
76,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto, Mambo Kingz, DJ Luian",Dominican Republic,2017,358,17
77,Shape of You,Ed Sheeran,Dominican Republic,2017,357,18
78,Pa Ti,"Bad Bunny, Bryant Myers",Dominican Republic,2017,356,19
79,Me Llamas,"Arcangel, Mark B., De La Ghetto, Bad Bunny, Amenazzy",Dominican Republic,2017,355,20
80,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Dominican Republic,2020,366,1
81,Tusa,"KAROL G, Nicki Minaj",Dominican Republic,2020,366,2
82,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Dominican Republic,2020,366,3
83,Blinding Lights,The Weeknd,Dominican Republic,2020,366,4
84,Vete,Bad Bunny,Dominican Republic,2020,366,5
85,La Mejor Versión de Mi - Remix,"Natti Natasha, Romeo Santos",Dominican Republic,2020,366,6
86,Otra Noche en Miami,Bad Bunny,Dominican Republic,2020,366,7
87,Callaita,"Bad Bunny, Tainy",Dominican Republic,2020,366,8
88,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Dominican Republic,2020,366,9
89,LA CANCIÓN,"J Balvin, Bad Bunny",Dominican Republic,2020,366,10
90,Si Estuviésemos Juntos,Bad Bunny,Dominican Republic,2020,366,11
91,Adicto (with Anuel AA & Ozuna),Tainy,Dominican Republic,2020,366,12
92,Tutu,"Camilo, Pedro Capó",Dominican Republic,2020,365,13
93,Fantasias,"Rauw Alejandro, Farruko",Dominican Republic,2020,365,14
94,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Dominican Republic,2020,364,15
95,QUE PRETENDES,"J Balvin, Bad Bunny",Dominican Republic,2020,363,16
96,Infeliz,"Arcangel, Bad Bunny",Dominican Republic,2020,362,17
97,Dance Monkey,Tones And I,Dominican Republic,2020,361,18
98,Si Se Da - Remix,"Myke Towers, Farruko, Arcangel, Sech, Zion",Dominican Republic,2020,359,19
99,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",Dominican Republic,2020,357,20
100,für Oksana,"nublu, gameboy tetris",Estonia,2020,363,1
101,Blinding Lights,The Weeknd,Estonia,2020,363,2
102,Aluspükse,"5MIINUST, nublu",Estonia,2020,363,3
103,Paaristõuked,"5MIINUST, Villemdrillem",Estonia,2020,363,4
104,Roses - Imanbek Remix,SAINt JHN,Estonia,2020,361,5
105,I Got Love,"MiyaGi & Endspiel, Rem Digga",Estonia,2020,357,6
106,Lämmi,Küberünnak & Karmo,Estonia,2020,319,7
107,Blueberry Faygo,Lil Mosey,Estonia,2020,308,8
108,Tsirkus,"5MIINUST, nublu, PLUUTO",Estonia,2020,307,9
109,Lucid Dreams,Juice WRLD,Estonia,2020,293,10
110,SOS (Siimi Remix),"Pluuto, nublu, Reket",Estonia,2020,278,11
111,Watermelon Sugar,Harry Styles,Estonia,2020,275,12
112,Breaking Me,"Topic, A7S",Estonia,2020,275,13
113,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,Estonia,2020,271,14
114,Croissantid,nublu,Estonia,2020,263,15
115,Nagu kuu,AG,Estonia,2020,262,16
116,death bed (coffee for your head),"Powfu, beabadoobee",Estonia,2020,260,17
117,The Box,Roddy Ricch,Estonia,2020,260,18
118,ROCKSTAR (feat. Roddy Ricch),DaBaby,Estonia,2020,259,19
119,Ride It,Regard,Estonia,2020,259,20
120,Adiós Amor,Christian Nodal,Guatemala,2018,365,1
121,Me Rehúso,Danny Ocean,Guatemala,2018,365,2
122,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Guatemala,2018,365,3
123,Esperándote,Manuel Turizo,Guatemala,2018,365,4
124,Bella,Wolfine,Guatemala,2018,365,5
125,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",Guatemala,2018,365,6
126,El Color de Tus Ojos,Banda MS de Sergio Lizárraga,Guatemala,2018,365,7
127,Se Preparó,Ozuna,Guatemala,2018,365,8
128,Escápate Conmigo (feat. Ozuna),Wisin,Guatemala,2018,365,9
129,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Guatemala,2018,365,10
130,Una Lady Como Tú,Manuel Turizo,Guatemala,2018,365,11
131,Believer,Imagine Dragons,Guatemala,2018,365,12
132,Dembow,Danny Ocean,Guatemala,2018,365,13
133,Caraluna,Bacilos,Guatemala,2018,365,14
134,Probablemente,Christian Nodal,Guatemala,2018,365,15
135,Otra vez (feat. J Balvin),Zion & Lennox,Guatemala,2018,365,16
136,Robarte un Beso,"Carlos Vives, Sebastian Yatra",Guatemala,2018,365,17
137,Shape of You,Ed Sheeran,Guatemala,2018,365,18
138,Besos En Guerra,"Morat, Juanes",Guatemala,2018,364,19
139,Perfect,Ed Sheeran,Guatemala,2018,364,20
140,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Guatemala,2020,366,1
141,Blinding Lights,The Weeknd,Guatemala,2020,366,2
142,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Guatemala,2020,366,3
143,Adicto (with Anuel AA & Ozuna),Tainy,Guatemala,2020,366,4
144,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Guatemala,2020,366,5
145,Fantasias,"Rauw Alejandro, Farruko",Guatemala,2020,366,6
146,De Los Besos Que Te Di,Christian Nodal,Guatemala,2020,366,7
147,Amor A Primera Vista,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Guatemala,2020,366,8
148,Vete,Bad Bunny,Guatemala,2020,366,9
149,LA CANCIÓN,"J Balvin, Bad Bunny",Guatemala,2020,366,10
150,Me Rehúso,Danny Ocean,Guatemala,2020,366,11
151,Tutu,"Camilo, Pedro Capó",Guatemala,2020,366,12
152,Si Estuviésemos Juntos,Bad Bunny,Guatemala,2020,366,13
153,Te Vi,"Piso 21, Micro TDH",Guatemala,2020,366,14
154,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Guatemala,2020,366,15
155,Simplemente Gracias,Calibre 50,Guatemala,2020,366,16
156,Callaita,"Bad Bunny, Tainy",Guatemala,2020,366,17
157,No Te Contaron Mal,Christian Nodal,Guatemala,2020,366,18
158,Nunca Es Suficiente,"Los Ángeles Azules, Natalia Lafourcade",Guatemala,2020,366,19
159,Jangueo,"Alex Rose, Rafa Pabön",Guatemala,2020,366,20
160,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Honduras,2017,362,1
161,Otra vez (feat. J Balvin),Zion & Lennox,Honduras,2017,362,2
162,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",Honduras,2017,362,3
163,Me Rehúso,Danny Ocean,Honduras,2017,361,4
164,Shape of You,Ed Sheeran,Honduras,2017,357,5
165,Me llamas (feat. Maluma) - Remix,Piso 21,Honduras,2017,356,6
166,Soy Peor,Bad Bunny,Honduras,2017,350,7
167,Despacito (Featuring Daddy Yankee),Luis Fonsi,Honduras,2017,343,8
168,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcangel, Bad Bunny",Honduras,2017,339,9
169,La Rompe Corazones,"Daddy Yankee, Ozuna",Honduras,2017,338,10
170,El Amante,Nicky Jam,Honduras,2017,338,11
171,Let Me Love You,"DJ Snake, Justin Bieber",Honduras,2017,337,12
172,Closer,"The Chainsmokers, Halsey",Honduras,2017,336,13
173,One Dance,"Drake, WizKid, Kyla",Honduras,2017,330,14
174,Reggaetón Lento (Bailemos),CNCO,Honduras,2017,319,15
175,Sigo Extrañándote,J Balvin,Honduras,2017,314,16
176,Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",Honduras,2017,314,17
177,Scared to Be Lonely,"Martin Garrix, Dua Lipa",Honduras,2017,310,18
178,Something Just Like This,"The Chainsmokers, Coldplay",Honduras,2017,306,19
179,Safari,"J Balvin, Pharrell Williams, BIA, Sky",Honduras,2017,306,20
180,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Honduras,2020,366,1
181,Dance Monkey,Tones And I,Honduras,2020,366,2
182,Tusa,"KAROL G, Nicki Minaj",Honduras,2020,366,3
183,QUE PRETENDES,"J Balvin, Bad Bunny",Honduras,2020,366,4
184,Don't Start Now,Dua Lipa,Honduras,2020,366,5
185,Infeliz,"Arcangel, Bad Bunny",Honduras,2020,366,6
186,De Los Besos Que Te Di,Christian Nodal,Honduras,2020,366,7
187,Si Estuviésemos Juntos,Bad Bunny,Honduras,2020,366,8
188,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Honduras,2020,366,9
189,Tutu,"Camilo, Pedro Capó",Honduras,2020,366,10
190,Te Vi,"Piso 21, Micro TDH",Honduras,2020,366,11
191,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Honduras,2020,366,12
192,No Te Contaron Mal,Christian Nodal,Honduras,2020,366,13
193,Vete,Bad Bunny,Honduras,2020,366,14
194,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Honduras,2020,366,15
195,Fantasias,"Rauw Alejandro, Farruko",Honduras,2020,366,16
196,Lamento Boliviano,Los Enanitos Verdes,Honduras,2020,366,17
197,Blinding Lights,The Weeknd,Honduras,2020,366,18
198,LA CANCIÓN,"J Balvin, Bad Bunny",Honduras,2020,366,19
199,Otra Noche en Miami,Bad Bunny,Honduras,2020,366,20
200,Shape of You,Ed Sheeran,Hungary,2018,364,1
201,Believer,Imagine Dragons,Hungary,2018,364,2
202,Thunder,Imagine Dragons,Hungary,2018,364,3
203,IDGAF,Dua Lipa,Hungary,2018,363,4
204,More Than You Know,Axwell /\ Ingrosso,Hungary,2018,362,5
205,New Rules,Dua Lipa,Hungary,2018,362,6
206,Mindenki táncol /90'/,Majka,Hungary,2018,361,7
207,Without You (feat. Sandro Cavazza),Avicii,Hungary,2018,361,8
208,Feel It Still,Portugal. The Man,Hungary,2018,360,9
209,Wolves,"Selena Gomez, Marshmello",Hungary,2018,359,10
210,Perfect,Ed Sheeran,Hungary,2018,359,11
211,Him & I (with Halsey),G-Eazy,Hungary,2018,358,12
212,Élvezd,Punnany Massif,Hungary,2018,357,13
213,In the End,Linkin Park,Hungary,2018,357,14
214,Whatever It Takes,Imagine Dragons,Hungary,2018,355,15
215,Havana (feat. Young Thug),Camila Cabello,Hungary,2018,353,16
216,"""Lose Yourself - From """"8 Mile"""" Soundtrack""",Eminem,Hungary,2018,352,17
217,'Till I Collapse,"Eminem, Nate Dogg",Hungary,2018,350,18
218,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Hungary,2018,346,19
219,Lonely Together (feat. Rita Ora),Avicii,Hungary,2018,346,20
220,Emlékszem (Vagy...),ByeAlex és a Slepp,Hungary,2021,334,1
221,Kings & Queens,Ava Max,Hungary,2021,334,2
222,Keverem,Bruno X Spacc,Hungary,2021,334,3
223,Astronaut In The Ocean,Masked Wolf,Hungary,2021,334,4
224,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",Hungary,2021,334,5
225,Talán,"Manuel, T. Danny",Hungary,2021,334,6
226,Lej,"Dzsúdló, Lil Frakk",Hungary,2021,334,7
227,Sweater Weather,The Neighbourhood,Hungary,2021,334,8
228,Roses - Imanbek Remix,SAINt JHN,Hungary,2021,334,9
229,Amikor Feladnád,Halott Pénz,Hungary,2021,334,10
230,Levitating (feat. DaBaby),Dua Lipa,Hungary,2021,334,11
231,Take You Dancing,Jason Derulo,Hungary,2021,334,12
232,Watermelon Sugar,Harry Styles,Hungary,2021,334,13
233,Paradise (feat. Dermot Kennedy),MEDUZA,Hungary,2021,334,14
234,Olyan Ő,Bagossy Brothers Company,Hungary,2021,334,15
235,Mood (feat. iann dior),24kGoldn,Hungary,2021,334,16
236,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Hungary,2021,334,17
237,RÉT,"Azahriah, DESH",Hungary,2021,334,18
238,Blinding Lights,The Weeknd,Hungary,2021,334,19
239,Head & Heart (feat. MNEK),Joel Corry,Hungary,2021,334,20
240,Baari,"Bilal Saeed, Momina Mustehsan",India,2020,366,1
241,"""Kaise Hua (From """"Kabir Singh"""")""",Vishal Mishra,India,2020,366,2
242,7 rings,Ariana Grande,India,2020,366,3
243,Someone You Loved,Lewis Capaldi,India,2020,366,4
244,Falling,Trevor Daniel,India,2020,366,5
245,I Like Me Better,Lauv,India,2020,366,6
246,Señorita,"Shawn Mendes, Camila Cabello",India,2020,366,7
247,Khairiyat,"Pritam, Arijit Singh",India,2020,366,8
248,Udd Gaye - Bacardi House Party Sessions,Ritviz,India,2020,366,9
249,"""Tera Yaar Hoon Main (From """"Sonu Ke Titu Ki Sweety"""")""",Arijit Singh,India,2020,366,10
250,8 Parche,"Baani Sandhu, Gur Sidhu",India,2020,366,11
251,Liggi,Ritviz,India,2020,366,12
252,"""Mere Sohneya (From """"Kabir Singh"""")""","Sachet Tandon, Parampara Tandon, Sachet-Parampara",India,2020,366,13
253,"""Tum Hi Aana (From """"Marjaavaan"""")""","Payal Dev, Jubin Nautiyal",India,2020,366,14
254,Sakhiyaan,Maninder Buttar,India,2020,366,15
255,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",India,2020,366,16
256,"""Garmi (From """"Street Dancer 3D"""") (feat. Varun Dhawan)""","Badshah, Neha Kakkar",India,2020,366,17
257,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",India,2020,366,18
258,Ve Maahi,"Arijit Singh, Asees Kaur",India,2020,366,19
259,bad guy,Billie Eilish,India,2020,366,20
260,Say You Won't Let Go,James Arthur,Indonesia,2021,334,1
261,if u could see me cryin' in my room,"Arash Buana, raissa anggiani",Indonesia,2021,334,2
262,Resah Jadi Luka,Daun Jatuh,Indonesia,2021,334,3
263,I Love You but I'm Letting Go,Pamungkas,Indonesia,2021,334,4
264,Rumah Ke Rumah,Hindia,Indonesia,2021,334,5
265,Makna Cinta,Rizky Febian,Indonesia,2021,334,6
266,I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,Indonesia,2021,334,7
267,To the Bone,Pamungkas,Indonesia,2021,334,8
268,Stuck with U (with Justin Bieber),Ariana Grande,Indonesia,2021,334,9
269,lowkey,NIKI,Indonesia,2021,334,10
270,Someone You Loved,Lewis Capaldi,Indonesia,2021,334,11
271,Jangan Rubah Takdirku,Andmesh,Indonesia,2021,334,12
272,Strawberries & Cigarettes,Troye Sivan,Indonesia,2021,334,13
273,One Only,Pamungkas,Indonesia,2021,334,14
274,Melukis Senja,Budi Doremi,Indonesia,2021,334,15
275,Kukira Kau Rumah,Amigdala,Indonesia,2021,334,16
276,Selamat (Selamat Tinggal),"Virgoun, Audy",Indonesia,2021,334,17
277,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,Indonesia,2021,334,18
278,Best Friend,Rex Orange County,Indonesia,2021,334,19
279,Monolog,Pamungkas,Indonesia,2021,334,20
280,Robbery,Juice WRLD,Ireland,2020,366,1
281,Outnumbered,Dermot Kennedy,Ireland,2020,366,2
282,Watermelon Sugar,Harry Styles,Ireland,2020,366,3
283,Power Over Me,Dermot Kennedy,Ireland,2020,366,4
284,Blinding Lights,The Weeknd,Ireland,2020,366,5
285,Before You Go,Lewis Capaldi,Ireland,2020,365,6
286,Someone You Loved,Lewis Capaldi,Ireland,2020,365,7
287,Roses - Imanbek Remix,SAINt JHN,Ireland,2020,365,8
288,Dance Monkey,Tones And I,Ireland,2020,365,9
289,Lucid Dreams,Juice WRLD,Ireland,2020,365,10
290,Mr. Brightside,The Killers,Ireland,2020,364,11
291,Adore You,Harry Styles,Ireland,2020,364,12
292,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Ireland,2020,364,13
293,Falling,Harry Styles,Ireland,2020,364,14
294,Circles,Post Malone,Ireland,2020,364,15
295,Don't Start Now,Dua Lipa,Ireland,2020,364,16
296,Shallow,"Lady Gaga, Bradley Cooper",Ireland,2020,364,17
297,Rome,Dermot Kennedy,Ireland,2020,363,18
298,The Box,Roddy Ricch,Ireland,2020,363,19
299,Bruises,Lewis Capaldi,Ireland,2020,363,20
300,Shotgun,George Ezra,New Zealand,2019,365,1
301,when the party's over,Billie Eilish,New Zealand,2019,365,2
302,Go Your Own Way - 2004 Remaster,Fleetwood Mac,New Zealand,2019,365,3
303,Dreams - 2004 Remaster,Fleetwood Mac,New Zealand,2019,365,4
304,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",New Zealand,2019,365,5
305,Shallow,"Lady Gaga, Bradley Cooper",New Zealand,2019,365,6
306,Lucid Dreams,Juice WRLD,New Zealand,2019,365,7
307,Eastside (with Halsey & Khalid),benny blanco,New Zealand,2019,365,8
308,Vibes,SIX60,New Zealand,2019,365,9
309,Bohemian Rhapsody - Remastered 2011,Queen,New Zealand,2019,365,10
310,Don't Stop Believin',Journey,New Zealand,2019,364,11
311,Better,Khalid,New Zealand,2019,364,12
312,Wow.,Post Malone,New Zealand,2019,364,13
313,Africa,TOTO,New Zealand,2019,364,14
314,Don’t Give It Up,SIX60,New Zealand,2019,364,15
315,Happier,"Marshmello, Bastille",New Zealand,2019,364,16
316,How To Fly,Sticky Fingers,New Zealand,2019,363,17
317,Shape of You,Ed Sheeran,New Zealand,2019,363,18
318,SICKO MODE,Travis Scott,New Zealand,2019,363,19
319,Without Me,Halsey,New Zealand,2019,363,20
320,Someone You Loved,Lewis Capaldi,Norway,2019,365,1
321,Shallow,"Lady Gaga, Bradley Cooper",Norway,2019,365,2
322,when the party's over,Billie Eilish,Norway,2019,365,3
323,Be Alright,Dean Lewis,Norway,2019,364,4
324,Always Remember Us This Way,Lady Gaga,Norway,2019,364,5
325,Lay By Me,Ruben,Norway,2019,364,6
326,Sweet but Psycho,Ava Max,Norway,2019,363,7
327,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Norway,2019,362,8
328,Balkong,Unge Ferrari,Norway,2019,361,9
329,Vi Kanke Være Venner,Unge Ferrari,Norway,2019,360,10
330,Let Me Down Slowly,Alec Benjamin,Norway,2019,359,11
331,Ikke som de andre,Sondre Justad,Norway,2019,354,12
332,Diamond Heart,"Alan Walker, Sophia Somajo",Norway,2019,353,13
333,Bare så du vett det,Stavangerkameratene,Norway,2019,344,14
334,"""Fire On Fire - From """"Watership Down""""""",Sam Smith,Norway,2019,343,15
335,Lucid Dreams,Juice WRLD,Norway,2019,341,16
336,Love Someone,Lukas Graham,Norway,2019,339,17
337,Wow.,Post Malone,Norway,2019,338,18
338,Shotgun,TIX,Norway,2019,334,19
339,Happy Now,"Kygo, Sandro Cavazza",Norway,2019,333,20
340,Memories,Maroon 5,Philippines,2020,366,1
341,"10,000 Hours (with Justin Bieber)",Dan + Shay,Philippines,2020,366,2
342,Sa Ngalan Ng Pag-Ibig,December Avenue,Philippines,2020,366,3
343,Say You Won't Let Go,James Arthur,Philippines,2020,366,4
344,Best Part (feat. Daniel Caesar),H.E.R.,Philippines,2020,366,5
345,I Like Me Better,Lauv,Philippines,2020,366,6
346,Don't Start Now,Dua Lipa,Philippines,2020,366,7
347,Miracle Nights,"ALLMO$T, L.A. GOON$, Peso Mercado",Philippines,2020,366,8
348,Hindi Tayo Pwede,The Juans,Philippines,2020,366,9
349,Circles,Post Malone,Philippines,2020,366,10
350,Sana,I Belong to the Zoo,Philippines,2020,366,11
351,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",Philippines,2020,366,12
352,Kung Wala Ka,Hale,Philippines,2020,366,13
353,Your Song,Parokya Ni Edgar,Philippines,2020,366,14
354,Imahe,Magnus Haven,Philippines,2020,366,15
355,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Philippines,2020,366,16
356,Nobela,Join The Club,Philippines,2020,366,17
357,Rainbow,South Border,Philippines,2020,366,18
358,Make It With You,Ben&Ben,Philippines,2020,366,19
359,Before You Go,Lewis Capaldi,Philippines,2020,366,20
360,GOMBAO 33,"Mata, Wyguś, Szczepan, Adam",Poland,2021,333,1
361,Impreza,Sobel,Poland,2021,333,2
362,FALA,"Guzior, Oskar83",Poland,2021,333,3
363,Morgan,White 2115,Poland,2021,333,4
364,Schodki,Mata,Poland,2021,333,5
365,halo,"Favst, Gibbs, Kukon",Poland,2021,333,6
366,VOGUE,"Bedoes, Lanek",Poland,2021,333,7
367,BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",Poland,2021,333,8
368,Fitness,"Kizo, Trill Pem",Poland,2021,333,9
369,Blinding Lights,The Weeknd,Poland,2021,333,10
370,Billy Kid,"Reto, Kubi Producent",Poland,2021,333,11
371,Kapitan,Wac Toja,Poland,2021,333,12
372,Mam Na Twarzy Krew I Tym Razem Nie Jest Sztuczna,"Chivas, White 2115",Poland,2021,333,13
373,Kinol,"Sobel, Magiera",Poland,2021,333,14
374,Sweater Weather,The Neighbourhood,Poland,2021,333,15
375,Dwutakt,"Alberto, OLEK",Poland,2021,333,16
376,Oh oh (lalala),"White 2115, Mata",Poland,2021,333,17
377,California,White 2115,Poland,2021,333,18
378,Testarossa,"Wiatr, Sobel, be vis",Poland,2021,333,19
379,Szampan,sanah,Poland,2021,333,20
380,Youngblood,5 Seconds of Summer,Singapore,2019,365,1
381,Perfect,Ed Sheeran,Singapore,2019,365,2
382,她說,JJ Lin,Singapore,2019,365,3
383,Girls Like You (feat. Cardi B),Maroon 5,Singapore,2019,365,4
384,2002,Anne-Marie,Singapore,2019,365,5
385,修煉愛情,JJ Lin,Singapore,2019,365,6
386,Shallow,"Lady Gaga, Bradley Cooper",Singapore,2019,365,7
387,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,Singapore,2019,365,8
388,Shape of You,Ed Sheeran,Singapore,2019,365,9
