,title,artist,region,date,stream,Rank
0,Shape of You,Ed Sheeran,Australia,2017-02,7243307,1
1,Castle on the Hill,Ed Sheeran,Australia,2017-02,4639849,2
2,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Australia,2017-02,4470534,3
3,Paris,The Chainsmokers,Australia,2017-02,4353263,4
4,Issues,Julia Michaels,Australia,2017-02,3673236,5
5,Call On Me - Ryan Riback Extended Remix,Starley,Australia,2017-02,3647458,6
6,Chameleon,PNAU,Australia,2017-02,3607222,7
7,Love$ick,"Mura Masa, A$AP Rocky",Australia,2017-02,3267741,8
8,Adore,Amy Shark,Australia,2017-02,3226177,9
9,I Feel It Coming,"The Weeknd, Daft Punk",Australia,2017-02,3160749,10
10,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",Australia,2017-05,6254438,1
11,HUMBLE.,Kendrick Lamar,Australia,2017-05,5344993,2
12,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Australia,2017-05,5155749,3
13,Shape of You,Ed Sheeran,Australia,2017-05,4370506,4
14,Symphony (feat. Zara Larsson),Clean Bandit,Australia,2017-05,3926307,5
15,Galway Girl,Ed Sheeran,Australia,2017-05,3666848,6
16,There's Nothing Holdin' Me Back,Shawn Mendes,Australia,2017-05,3662661,7
17,Stay (with Alessia Cara),Zedd,Australia,2017-05,3619659,8
18,Mask Off,Future,Australia,2017-05,3495453,9
19,Passionfruit,Drake,Australia,2017-05,3450223,10
20,New Rules,Dua Lipa,Australia,2017-09,5350758,1
21,1-800-273-8255,"Logic, Alessia Cara, Khalid",Australia,2017-09,5202935,2
22,Glorious (feat. Skylar Grey),Macklemore,Australia,2017-09,5171906,3
23,Look What You Made Me Do,Taylor Swift,Australia,2017-09,5008478,4
24,Unforgettable,"French Montana, Swae Lee",Australia,2017-09,4807950,5
25,Friends (with BloodPop®),Justin Bieber,Australia,2017-09,4681192,6
26,Sorry Not Sorry,Demi Lovato,Australia,2017-09,4656421,7
27,Young Dumb & Broke,Khalid,Australia,2017-09,4566576,8
28,I Like Me Better,Lauv,Australia,2017-09,4228449,9
29,Havana,"Camila Cabello, Young Thug",Australia,2017-09,4052335,10
30,Psycho (feat. Ty Dolla $ign),Post Malone,Australia,2018-04,6411887,1
31,God's Plan,Drake,Australia,2018-04,6308198,2
32,Love Lies (with Normani),Khalid,Australia,2018-04,5861317,3
33,Nice For What,Drake,Australia,2018-04,5471720,4
34,Freaky Friday (feat. Chris Brown),Lil Dicky,Australia,2018-04,5410567,5
35,Call Out My Name,The Weeknd,Australia,2018-04,5363325,6
36,FRIENDS,"Marshmello, Anne-Marie",Australia,2018-04,4450766,7
37,All The Stars (with SZA),Kendrick Lamar,Australia,2018-04,4281880,8
38,The Middle,"Zedd, Maren Morris, Grey",Australia,2018-04,4215939,9
39,IDGAF,Dua Lipa,Australia,2018-04,4009139,10
40,Roses - Imanbek Remix,SAINt JHN,Australia,2020-04,8291937,1
41,Blinding Lights,The Weeknd,Australia,2020-04,7984000,2
42,Toosie Slide,Drake,Australia,2020-04,7239512,3
43,death bed (coffee for your head),"Powfu, beabadoobee",Australia,2020-04,5964530,4
44,Don't Start Now,Dua Lipa,Australia,2020-04,5652081,5
45,Intentions (feat. Quavo),Justin Bieber,Australia,2020-04,4953748,6
46,Say So,Doja Cat,Australia,2020-04,4853346,7
